,make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price (Rs.)
5027,Toyota, Belta,2007,Automatic,Petrol,1000,120000,5650000
5028,Toyota, Prius,2013,Automatic,Petrol,1800,211,7890000
5032,Toyota, Aqua,2014,Automatic,Petrol,1500,93500,6050000
5033,Toyota, Aqua,2015,Automatic,Petrol,1500,72000,7750000
5037,Toyota, Vitz,2016,Automatic,Petrol,1000,42270,6850000
5038,Toyota, Vitz,2018,Automatic,Petrol,1000,70245,7250000
5042,Toyota, KDH,2006,Automatic,Diesel,2500,255000,8750000
5043,Toyota, Vios,2003,Automatic,Petrol,1500,1140000,4050000
5044,Toyota, Vitz,2018,Automatic,Petrol,1000,31000,7950000
5045,Toyota, Axio,2017,Automatic,Petrol,1500,14600,10290000
5046,Toyota, Corolla,2003,Automatic,Petrol,1500,200000,4550000
5048,Toyota, Aqua,2014,Automatic,Petrol,1500,810000,6850000
5049,Toyota, Vios,2005,Automatic,Petrol,1500,174600,4100000
5050,Toyota, Vitz,2016,Automatic,Petrol,1000,41000,6995000
5051,Toyota, Belta,2009,Automatic,Petrol,1000,86000,5525000
5052,Toyota, Vitz,2018,Automatic,Petrol,1000,48000,7985000
5053,Toyota, AXIO,2012,Automatic,Petrol,1500,105000,7550000
5054,Toyota, Prius,2012,Automatic,Petrol,1800,86000,7890000
5055,Toyota, PRIUS,2012,Automatic,Petrol,1800,129000,7250000
5056,Toyota, Vitz,2007,Automatic,Petrol,1000,160000,4300000
5058,Toyota, Soluna,2000,Manual,Petrol,1500,120000,2550000
5060,Toyota, Axio,2016,Automatic,Petrol,1500,82000,9550000
5061,Toyota, PREMIO,2007,Automatic,Petrol,1500,130000,8075000
5062,Toyota, PREMIO,2013,Automatic,Petrol,1500,120000,9950000
5063,Toyota, AQUA,2013,Automatic,Petrol,1500,99520,5850000
5064,Toyota, Allion,2007,Automatic,Petrol,1500,99000,6990000
5067,Toyota, Vitz,2007,Automatic,Petrol,1000,95000,4650000
5069,Toyota, Hilux,2008,Manual,Diesel,2500,126000,8900000
5070,Toyota, Axio,2015,Automatic,Petrol,1500,70000,9750000
5071,Toyota, Axio,2016,Automatic,Petrol,1400,60000,9900000
5073,Toyota, PLATZ,2003,Automatic,Petrol,1000,170000,3400000
5074,Toyota, Vitz,2008,Automatic,Petrol,1000,140000,4495000
5075,Toyota, Allion,2010,Automatic,Petrol,1500,127000,7950000
5076,Toyota, KDH,2008,Automatic,Diesel,2980,140600,9600000
5078,Toyota, Vitz,2015,Automatic,Petrol,1000,26000,6350000
5080,Toyota, Corolla,2000,Automatic,Diesel,1500,24000,3275000
5082,Toyota, Avanza,2011,Automatic,Petrol,1500,140000,6500000
5083,Toyota, Premio,2010,Automatic,Petrol,1490,143438,9300000
5087,Toyota, Prius,2012,Automatic,Petrol,1800,114000,6975000
5088,Toyota, Vitz,2016,Automatic,Petrol,990,73000,6200000
5090,Toyota, Prius,2013,Automatic,Petrol,1500,75000,7750000
5091,Toyota, Vitz,2005,Automatic,Petrol,1000,128000,3525000
